name,code,country,latitude,longitude,elevation,style,runway_direction,runway_length,runway_width,frequency,description
Obstacle,Obsta,PL,53.095,19.93715,156.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.101533333333336,19.939733333333333,154.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.09385,19.99175,135.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.077733333333335,19.98455,135.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.653983333333336,17.738866666666667,76.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.09923333333333,19.897766666666666,140.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.08926666666667,19.99115,144.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.07351666666667,19.993033333333333,124.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.09791666666667,19.93745,166.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.08436666666667,19.991766666666667,136.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.11131666666667,19.941783333333333,175.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.081716666666665,19.9853,139.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.078,19.99265,129.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.89155,18.7693,60.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.886716666666665,18.776716666666665,46.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.895133333333334,18.77575,51.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.112833333333334,19.959533333333333,155.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.29985,19.357683333333334,120.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.11215,19.96715,138.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.29625,19.35085,124.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.94273333333334,19.448966666666667,124.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.94441666666667,19.449116666666665,126.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.2017,19.066033333333333,177.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.581783333333334,17.841716666666667,108.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.03755,22.3556,212.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.038333333333334,22.362083333333334,230.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,52.998133333333335,16.070183333333333,73.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.083333333333336,18.265466666666665,29.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.04858333333333,22.364166666666666,224.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.043616666666665,22.364683333333332,243.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.05186666666667,22.3639,236.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.04286666666667,22.356766666666665,252.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.048633333333335,22.357016666666667,210.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.05191666666666,22.35718333333333,231.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,51.40526666666667,19.323366666666665,212.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.757533333333335,18.3866,20.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.7491,18.3506,12.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.74378333333333,18.343533333333333,6.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.75633333333333,18.35415,13.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.74633333333333,18.354766666666666,16.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.75848333333333,18.38165,27.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.7365,18.35705,8.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.74698333333333,18.34245,15.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.74653333333333,18.36085,8.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.7397,18.356233333333332,13.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.74353333333333,18.3585,18.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.60686666666667,18.397716666666668,176.0,8,,,,,Height: 100 m GND
Obstacle,Obsta,PL,54.74045,18.348566666666667,9.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.7439,18.35005,13.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.20805,20.189333333333334,226.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,49.88791666666667,22.753183333333332,235.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.838883333333335,17.9233,124.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.07711666666667,20.99355,240.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.84025,17.923416666666668,121.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.97475,22.0201,158.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.97281666666667,22.0192,149.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.9731,22.022566666666666,156.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.84155,17.92353333333333,109.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.87553333333334,17.874516666666665,110.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.8753,17.878583333333335,111.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.8619,21.4551,220.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.85306666666666,21.5664,184.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.854366666666664,21.565616666666667,184.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.26416666666667,22.356816666666667,264.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.26663333333333,22.354216666666666,250.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.9578,19.22908333333333,146.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.957483333333336,19.230533333333334,143.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.30063333333333,15.598866666666666,113.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.446333333333335,16.42775,25.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.44616666666667,16.426,25.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.013783333333336,18.962216666666666,82.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.676766666666666,15.1302,46.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.53946666666667,19.006933333333333,168.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.5394,18.990116666666665,138.0,8,,,,,Height: Unknown
PowerWind 56,Power,PL,54.29315,22.325716666666665,205.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.690333333333335,18.992833333333333,166.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.84705,19.03365,129.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.68983333333333,19.010883333333332,170.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.69266666666667,19.011683333333334,171.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.68725,19.008483333333334,160.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.70656666666667,19.00375,156.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.80685,18.918,133.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.73988333333333,18.9396,135.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.73693333333333,18.941316666666665,137.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.7389,18.940166666666666,131.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.734433333333335,18.94145,143.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.737966666666665,18.940716666666667,135.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.7357,18.941433333333332,135.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.740916666666664,18.939,136.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.74191666666667,18.938416666666665,136.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.784483333333334,18.862433333333332,150.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.78355,18.859566666666666,150.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.784016666666666,18.861,150.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.782783333333334,18.857283333333335,152.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.44603333333333,21.145966666666666,150.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.17828333333333,17.309866666666668,74.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.1818,17.315166666666666,70.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.18278333333333,17.297316666666667,72.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.199983333333336,17.327016666666665,73.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.361716666666666,17.375933333333332,109.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.295383333333334,21.418583333333334,178.0,8,,,,,Height: 8 m GND
Blok 858 MW,Blok,PL,51.26915,19.31835,192.0,8,,,,,Height: 139 m GND
Obstacle,Obsta,PL,54.702216666666665,18.02938333333333,93.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.70433333333333,18.033333333333335,100.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.66515,17.64955,37.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.65691666666667,17.627633333333332,11.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.67143333333333,17.64935,43.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.66566666666667,17.65585,37.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.65395,17.62705,14.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.66835,17.65255,43.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.67151666666667,17.655583333333333,48.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.6751,17.627766666666666,18.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.65555,17.62245,26.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.69891666666667,17.64828333333333,42.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.67516666666667,17.639983333333333,38.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.696733333333334,17.660133333333334,46.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.70135,17.65288333333333,49.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.67178333333333,17.6617,44.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.67458333333333,17.633916666666668,28.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.678216666666664,17.624666666666666,21.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.700266666666664,17.658816666666667,51.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.67463333333333,17.65785,47.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.67446666666667,17.652066666666666,40.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.69918333333333,17.664733333333334,48.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.69325,17.66145,28.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.6745,17.646116666666668,44.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.697833333333335,17.65425,47.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.55056666666667,19.10165,101.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.24985,19.087433333333333,6.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.251216666666664,19.098716666666668,11.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.25105,19.113383333333335,9.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.2388,19.103816666666667,10.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.241883333333334,19.092383333333334,11.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.249633333333335,19.132866666666665,11.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.24026666666666,19.097716666666667,13.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.249916666666664,19.126666666666665,10.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.2607,19.099233333333334,9.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.26,19.114216666666668,14.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.26006666666667,19.118516666666668,11.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.26058333333334,19.104316666666666,9.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.26005,19.123483333333333,13.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.25125,19.093216666666667,9.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.26011666666667,19.10955,9.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.24998333333333,19.11915,11.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.16648333333333,18.999716666666668,12.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.165366666666664,19.025266666666667,6.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.2515,19.106466666666666,10.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.15505,18.9755,9.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.16191666666667,19.030433333333335,5.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.1746,19.0092,13.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.16655,19.03265,10.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.13645,18.9751,8.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.14065,18.971233333333334,9.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.15205,18.981033333333333,11.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.17901666666667,19.004933333333334,7.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.14876666666667,18.986066666666666,6.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.16608333333333,18.976516666666665,9.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.17346666666667,19.00065,11.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.16225,18.984066666666667,10.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.14725,18.97298333333333,6.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.15411666666667,18.963083333333334,8.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.162533333333336,18.977166666666665,12.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.30996666666667,18.744283333333332,9.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.696666666666665,18.024016666666668,90.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.16108333333333,18.958783333333333,11.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.15875,18.97965,11.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.7001,18.028166666666667,106.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.1574,18.969383333333333,11.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.69785,18.0192,83.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.16125,18.967283333333334,11.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.4711,17.4953,77.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.6973,18.0291,90.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.15105,18.9687,10.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.471833333333336,17.50215,73.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.69948333333333,18.031933333333335,105.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.69198333333333,18.028916666666667,84.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.69395,18.028316666666665,84.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.695883333333335,18.02055,80.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.6958,18.028416666666665,99.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.69976666666667,18.020983333333334,92.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.70108333333334,18.0256,103.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.705733333333335,18.019966666666665,90.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.70316666666667,18.0199,94.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.70151666666667,18.02125,94.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.70446666666667,18.029783333333334,104.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.70373333333333,18.026516666666666,103.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.6513,17.624433333333332,17.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.65838333333333,17.622983333333334,21.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.4626,19.688233333333333,132.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.46456666666667,19.686566666666668,135.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.37323333333333,14.6753,18.0,8,,,,,Height: 122 m GND
Obstacle,Obsta,PL,52.136716666666665,19.893,84.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.137566666666665,19.89378333333333,70.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.506033333333335,19.044816666666666,94.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.47365,16.53301666666667,64.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.4717,16.5184,61.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.471333333333334,16.525416666666665,57.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.47076666666667,16.529983333333334,64.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.47181666666667,16.510083333333334,51.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.474583333333335,16.528616666666668,73.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.47396666666667,16.52325,57.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.48858333333333,16.516066666666667,12.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.490316666666665,16.508,11.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.132533333333335,22.417333333333332,208.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.33063333333333,18.621216666666665,144.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.33056666666667,18.62405,137.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.31751666666667,18.631933333333333,140.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.31653333333333,18.632083333333334,144.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.33213333333333,18.621866666666666,147.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.3148,18.630733333333332,152.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.89268333333333,17.761083333333332,95.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.32235,22.771716666666666,268.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.039316666666664,22.285416666666666,241.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.057883333333336,22.31255,201.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.04911666666667,22.31125,234.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.05436666666667,22.30725,221.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.063,22.284633333333332,223.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.06741666666667,22.306566666666665,232.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.067933333333336,22.3011,220.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.064566666666664,22.312783333333332,215.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.05825,22.305783333333334,222.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.06471666666667,22.30325,234.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.04975,22.2961,228.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.04045,22.272866666666665,227.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.0426,22.287316666666666,232.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.0378,22.27725,240.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.04695,22.287133333333333,229.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.0514,22.290333333333333,230.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.03426666666667,22.27445,230.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.044916666666666,22.29325,230.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,50.0442,22.28248333333333,233.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,53.38851666666667,16.926933333333334,133.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.8324,18.48825,97.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.83148333333333,18.487833333333334,75.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.829683333333335,18.486933333333333,80.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.83058333333334,18.487383333333334,75.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.68326666666667,18.967333333333332,169.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.6871,18.426866666666665,150.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.67648333333333,18.50795,143.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.23563333333333,21.818066666666667,234.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.16178333333333,16.262266666666665,134.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.167116666666665,16.2671,129.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.17131666666667,16.267233333333333,129.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.157466666666664,16.26418333333333,129.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.161883333333336,16.268716666666666,134.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.16525,16.318233333333332,125.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.16765,16.3122,128.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.15345,16.2843,137.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.163716666666666,16.312266666666666,133.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.1698,16.291816666666666,127.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.152816666666666,16.289583333333333,147.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.75926666666667,18.364733333333334,23.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.76116666666667,18.361666666666668,26.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.762966666666664,18.35868333333333,29.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.75735,18.36785,19.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.822466666666664,18.691516666666665,79.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.822266666666664,18.689766666666667,80.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.83155,18.73375,84.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.83116666666667,18.732333333333333,93.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.82536666666667,18.72185,79.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.82318333333333,18.722266666666666,91.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.820233333333334,18.722783333333332,97.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.8222,18.722433333333335,100.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.8212,18.722616666666667,94.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.45478333333333,18.503316666666667,91.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.05073333333333,18.170333333333332,215.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.066716666666665,15.74545,40.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.97895,17.1638,85.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.979166666666664,17.202183333333334,83.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.0458,15.69035,54.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.94886666666667,17.006683333333335,93.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.9379,17.03996666666667,90.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.92718333333333,17.14375,79.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.044266666666665,15.7837,47.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.92661666666667,17.13245,90.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.98113333333333,17.1515,82.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.92218333333334,17.133966666666666,85.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.9856,17.1631,83.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.02973333333333,15.794216666666667,40.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.945366666666665,17.005983333333333,96.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.032916666666665,15.789733333333333,44.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.96305,17.0053,82.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.93451666666667,17.179483333333334,91.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.06305,15.743316666666667,40.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.95783333333333,17.023983333333334,87.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.05963333333333,15.744783333333332,39.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.94136666666667,17.00808333333333,93.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.96711666666667,17.00958333333333,98.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.04123333333333,15.80945,38.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.953716666666665,17.006866666666667,100.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.028216666666665,15.79945,40.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.06421666666667,15.777483333333333,32.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.02771666666667,15.805633333333333,38.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.05615,15.75275,39.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.94403333333333,17.03565,83.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.0618,15.734116666666667,46.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.05963333333333,15.750833333333333,45.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.0384,15.799633333333333,40.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.0295,15.8162,38.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.05608333333333,15.74665,39.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.04365,15.78955,40.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.06388333333334,15.75635,40.0,8,,,,,Height: Unknown
