name,code,country,latitude,longitude,elevation,style,runway_direction,runway_length,runway_width,frequency,description
MILEWO,EPMX,PL,52.666666666666664,20.428616666666667,101.0,2,359,550.0m,35.0m,124.415,
MIROSLAWIEC,EPMI,PL,53.395,16.08278333333333,151.0,5,305,2500.0m,45.0m,128.475,
MOLENDY,,PL,51.515,21.61305,128.0,2,359,970.0m,19.0m,,
MRAGOWO,EPMG,PL,53.825,21.318333333333335,149.0,2,215,698.0m,50.0m,,
MOSTKI,,PL,52.271116666666664,15.372216666666667,104.0,2,293,900.0m,100.0m,,
MYSLIBORZ-GIZYN,EPMY,PL,52.941116666666666,15.03,66.0,2,333,800.0m,20.0m,122.400,
NADARZYCE,,PL,53.45471666666667,16.489716666666666,125.0,0,,,,,
NADRYBIE,,PL,51.35055,23.026116666666667,168.0,2,219,770.0m,54.0m,123.450,
MYSLECIN,,PL,52.53778333333333,17.485283333333335,116.0,2,270,316.0m,19.0m,,
NAKLO NAD NOTECIA,,PL,53.145833333333336,17.556666666666665,87.0,2,288,286.0m,15.0m,,
NAREW 2,EPHN,PL,52.907783333333334,23.54305,135.0,2,316,975.0m,35.0m,118.315,
NATOLIN,,PL,51.01611666666667,18.75445,241.0,2,313,632.0m,20.0m,123.450,
NIEGOWONICZKI,EPNI,PL,50.37278333333333,19.42055,318.0,2,202,492.0m,30.0m,119.275,
NOWA WIES,,PL,51.8025,21.078616666666665,128.0,2,207,370.0m,50.0m,,
NOWY TARG,EPNT,PL,49.462783333333334,20.050833333333333,607.0,2,297,1680.0m,80.0m,122.305,
NOWECIN,,PL,54.74695,17.603616666666667,3.0,2,249,700.0m,60.0m,,
NYSA,,PL,50.47195,17.267216666666666,215.0,2,344,300.0m,25.0m,,
NOWOGROD,,PL,53.24055,21.710283333333333,98.0,2,201,280.0m,35.0m,,
NOWE MIASTO,EPNM,PL,51.62778333333333,20.5375,158.0,5,260,2400.0m,30.0m,,
OBORNIKI,EPOB,PL,52.66695,16.77445,62.0,2,288,621.0m,62.0m,,
OKSYWIE,EPOK,PL,54.57971666666667,18.517216666666666,45.0,5,316,2500.0m,60.0m,119.850,
OLESZYCE,,PL,50.169716666666666,23.058883333333334,229.0,2,302,720.0m,50.0m,130.300,
OLSZTYN-MAZURY,EPSY,PL,53.48185,20.9377,141.0,5,199,2500.0m,45.0m,118.030,
OLESNICA,,PL,51.21471666666667,17.438333333333333,159.0,5,248,2300.0m,28.0m,,
OPOLE KAMIEN SLA,EPKN,PL,50.53045,18.079766666666668,197.0,5,290,900.0m,30.0m,120.305,
OPOLE LUB,,PL,51.146116666666664,21.99055,145.0,2,,,,,
ORNETA,,PL,54.128616666666666,20.094166666666666,53.0,0,,,,,
OSIEK,,PL,53.18416666666667,19.390833333333333,104.0,2,188,430.0m,25.0m,,
PACOLTOWO,,PL,53.530833333333334,20.153616666666668,197.0,2,252,850.0m,30.0m,,
PALOWO,,PL,54.44611666666667,16.8175,42.0,2,331,400.0m,50.0m,,
PCIN,,PL,51.27916666666667,21.563883333333333,158.0,2,235,260.0m,35.0m,,
PAWLOWICZKI,EPPA,PL,50.24471666666667,18.023616666666666,249.0,2,207,631.0m,44.0m,,
PIASTOW K/RADOMIA,EPRP,PL,51.479016666666666,21.110033333333334,148.0,2,052,880.0m,100.0m,122.905,
